"age","Unrelated_Men","Unrelated_Women","Related_Men","Related_Women"
0,-5710,-6791,0,0
1,1678,1122,0,0
2,2793,1607,0,0
3,2803,1803,0,0
4,2515,1844,0,0
5,2307,1865,0,0
6,2268,1940,0,0
7,2316,2060,0,0
8,2371,2165,0,0
9,2394,2235,0,0
10,2393,2262,0,0
11,2351,2251,0,0
12,2269,2255,0,0
13,2164,2245,0,0
14,2060,2259,0,0
15,1946,2313,0,0
16,1842,2411,0,1
17,1768,2557,0,2
18,1817,2771,0,3
19,1958,3042,0,4
20,2141,3366,0,6
21,2336,3740,0,9
22,2516,4124,0,13
23,2665,4476,0,20
24,2780,4774,0,25
25,2890,5024,0,36
26,3004,5183,0,47
27,3080,5245,0,61
28,3120,5182,0,73
29,3139,5014,0,84
30,3179,4762,0,99
31,3251,4448,0,109
32,3349,4135,0,120
33,3455,3887,0,130
34,3548,3720,0,140
35,3619,3613,0,150
36,3674,3579,0,159
37,3718,3603,0,169
38,3756,3645,0,181
39,3803,3710,0,195
40,3863,3842,0,213
41,3966,4083,0,229
42,4108,4361,0,247
43,4268,4584,0,272
44,4455,4733,0,299
45,4664,4878,0,329
46,4896,5066,0,359
47,5140,5362,0,380
48,5360,5698,0,389
49,5430,5801,0,362
50,5410,5680,0,310
51,5324,5327,0,239
52,5237,4928,0,169
53,5176,4629,0,114
54,5166,4497,0,72
55,5212,4515,0,49
56,5230,4473,0,40
57,5181,4311,0,39
58,5029,4030,0,41
59,4853,3755,0,42
60,4812,3728,1,52
61,4929,3959,1,66
62,5109,4303,1,77
63,5291,4619,1,82
64,5422,4815,1,83
65,5520,4904,1,80
66,5598,4924,1,71
67,5711,4995,1,61
68,5878,5181,1,48
69,6078,5480,1,36
70,6315,5886,2,31
71,6636,6380,2,29
72,7043,6966,2,31
73,7527,7630,2,35
74,7997,8343,2,39
75,8398,9074,2,43
76,8730,9829,2,46
77,9073,10694,2,49
78,9602,11741,2,53
79,10324,12961,2,54
80,11300,14408,2,56
81,12429,16073,2,56
82,13598,17835,2,58
83,14833,19688,2,59
84,16226,21739,2,59
85,17582,23766,2,59
86,18974,25772,1,59
87,20559,27904,1,54
88,22374,30173,1,51
89,24391,32547,1,45
90,26592,34993,1,41
91,28919,37458,1,33
92,31229,39859,1,28
93,33539,42300,1,23
94,35941,44982,1,19
95,38308,47692,0,16
96,36118,44757,0,16
97,36862,45060,0,17
98,38415,46022,0,13
99,38415,46022,0,13
