TumBinL,TumBinR,DCIS,1,2,3,4
0.25,0.5,0.4,1,1,1,1
0.5,1,0.3,0.8,1,1,1
1,2.5,0.15,0.7,1,1,1
2.5,5,0.05,0.7,0.98,1,1.000000001
5,10,0.05,0.7,0.97,0.995,1
10,15,0.081431005,0.778762067,0.96,0.995,1
15,20,0.084778174,0.733809281,0.95,0.99,1
20,25,0.104869762,0.5,0.94,0.99,1
25,30,0.102818792,0.4,0.93,0.99,1
30,35,0.115294118,0.25,0.865882353,0.99,1
35,40,0.101351351,0.175675675,0.815315315,0.99,1
40,45,0.10617284,0.207407408,0.819753087,0.99,1.000000001
45,50,0.1191067,0.191066998,0.848635236,0.99,1
50,55,0.1,0.176072234,0.805869074,0.99,1
55,60,0.1,0.186842105,0.821052631,0.975,1
60,65,0.1,0.201995012,0.805486284,0.975,1
65,70,0.1,0.181818182,0.815656566,0.975,1
70,75,0.075,0.180592991,0.835579514,0.940700808,0.999999999
75,80,0.075,0.199095023,0.812217195,0.92760181,1
80,85,0.075,0.175398633,0.810933941,0.93166287,1
85,90,0.075,0.178117049,0.816793894,0.936386769,1.000000001
90,95,0.075,0.1875,0.841346154,0.939903846,1
95,100,0.05,0.269230769,0.836538461,0.939102564,1
100,105,0.05,0.333333333,0.444444444,0.888888888,0.999999999
105,110,0.05,0.15,0.5,0.8,0.999999999
110,115,0.05,0.1,0.55,0.8,1
115,120,0.05,0.2,0.5,0.8,1
120,125,0.05,0.2,0.5,0.8,1
125,9000,0.05,0.2,0.55,0.85,1
